open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-05-13 13:45:00,2270.62000000,2270.62000000,2258.51000000,2262.80000000,12832.83940000,2026-05-13 13:59:59.999,29039958.15650800,76766,6576.32350000,14881851.78014800
2026-05-13 14:00:00,2262.80000000,2266.91000000,2251.05000000,2263.52000000,11735.57720000,2026-05-13 14:14:59.999,26508604.24269700,54723,6435.95290000,14540795.27331900
2026-05-13 14:15:00,2263.51000000,2270.97000000,2261.50000000,2268.05000000,6392.52820000,2026-05-13 14:29:59.999,14493947.66215100,29525,2948.86600000,6683762.97220800
2026-05-13 14:30:00,2268.05000000,2268.89000000,2264.57000000,2265.35000000,3461.24250000,2026-05-13 14:44:59.999,7845419.62006600,30111,1944.42080000,4407486.73428500
2026-05-13 14:45:00,2265.35000000,2269.00000000,2262.08000000,2267.39000000,2138.58990000,2026-05-13 14:59:59.999,4845020.43161800,23834,1137.47160000,2577467.86599600
2026-05-13 15:00:00,2267.39000000,2270.25000000,2256.46000000,2257.65000000,4285.84480000,2026-05-13 15:14:59.999,9700308.25240200,36131,1638.33390000,3710663.02647500
2026-05-13 15:15:00,2257.64000000,2259.93000000,2251.50000000,2253.62000000,4805.37220000,2026-05-13 15:29:59.999,10839073.93818200,39927,1947.42870000,4393707.47917700
2026-05-13 15:30:00,2253.61000000,2256.50000000,2251.39000000,2252.45000000,3540.19130000,2026-05-13 15:44:59.999,7978484.95263100,30365,1726.24360000,3890396.70178200
2026-05-13 15:45:00,2252.46000000,2253.47000000,2234.13000000,2236.49000000,17787.46990000,2026-05-13 15:59:59.999,39909632.46569300,72228,6344.41340000,14234130.92460400
2026-05-13 16:00:00,2236.48000000,2245.97000000,2235.48000000,2245.27000000,14584.29040000,2026-05-13 16:14:59.999,32687162.17364800,53167,7643.04650000,17129353.02302300
2026-05-13 16:15:00,2245.27000000,2250.89000000,2242.74000000,2249.27000000,4837.48970000,2026-05-13 16:29:59.999,10869753.73403900,31584,2661.38590000,5981547.89611800
2026-05-13 16:30:00,2249.27000000,2253.35000000,2247.07000000,2252.15000000,2811.31690000,2026-05-13 16:44:59.999,6329294.32143400,23945,1452.26770000,3269924.49462500
2026-05-13 16:45:00,2252.14000000,2253.26000000,2249.39000000,2250.75000000,1735.52860000,2026-05-13 16:59:59.999,3906850.98219200,14342,868.99930000,1956345.47143400
2026-05-13 17:00:00,2250.75000000,2256.17000000,2250.75000000,2254.45000000,1988.26610000,2026-05-13 17:14:59.999,4482045.05258500,19747,1150.12420000,2592543.82507500
2026-05-13 17:15:00,2254.46000000,2259.00000000,2252.52000000,2257.51000000,2128.47530000,2026-05-13 17:29:59.999,4802158.41788500,19690,1089.39770000,2457963.72085100
2026-05-13 17:30:00,2257.51000000,2257.87000000,2254.57000000,2257.35000000,1684.22450000,2026-05-13 17:44:59.999,3800160.49970000,11511,575.84670000,1299259.09157100
2026-05-13 17:45:00,2257.36000000,2261.77000000,2256.40000000,2258.31000000,3544.00320000,2026-05-13 17:59:59.999,8006957.75668200,19173,1431.46120000,3233896.16518400
2026-05-13 18:00:00,2258.32000000,2263.34000000,2258.32000000,2262.20000000,4163.22800000,2026-05-13 18:14:59.999,9414816.02856800,19552,2028.77510000,4587882.14778500
2026-05-13 18:15:00,2262.20000000,2268.49000000,2261.16000000,2265.64000000,5831.77840000,2026-05-13 18:29:59.999,13213303.35816900,21368,3480.84980000,7886219.01101600
2026-05-13 18:30:00,2265.64000000,2267.40000000,2262.42000000,2262.43000000,2293.33810000,2026-05-13 18:44:59.999,5196314.19792000,15947,894.36680000,2026843.82479500
2026-05-13 18:45:00,2262.42000000,2263.08000000,2258.73000000,2259.68000000,2072.09640000,2026-05-13 18:59:59.999,4684518.74161500,18133,807.28700000,1825173.00278200
2026-05-13 19:00:00,2259.67000000,2260.71000000,2253.01000000,2255.29000000,2223.70750000,2026-05-13 19:14:59.999,5017543.78207400,19016,653.89400000,1475552.85962300
2026-05-13 19:15:00,2255.28000000,2255.31000000,2250.56000000,2254.18000000,1871.19380000,2026-05-13 19:29:59.999,4216863.00100500,15915,496.54620000,1118995.83636200
2026-05-13 19:30:00,2254.17000000,2259.18000000,2254.11000000,2255.85000000,1922.57830000,2026-05-13 19:44:59.999,4337469.75618300,12303,912.38700000,2058314.25716100
2026-05-13 19:45:00,2255.85000000,2257.33000000,2254.41000000,2256.53000000,1567.77480000,2026-05-13 19:59:59.999,3536489.82878900,12049,733.83220000,1655110.36159300
2026-05-13 20:00:00,2256.53000000,2261.50000000,2256.43000000,2258.95000000,2193.86320000,2026-05-13 20:14:59.999,4953970.75192100,12501,1088.57260000,2458349.92167700
2026-05-13 20:15:00,2258.94000000,2262.51000000,2258.94000000,2260.24000000,1028.55450000,2026-05-13 20:29:59.999,2325167.80101200,9708,647.93770000,1464598.60518800
2026-05-13 20:30:00,2260.24000000,2263.99000000,2260.23000000,2263.35000000,775.49410000,2026-05-13 20:44:59.999,1754743.57048900,8489,402.65230000,911079.55375200
2026-05-13 20:45:00,2263.35000000,2264.46000000,2261.92000000,2263.75000000,880.95790000,2026-05-13 20:59:59.999,1993661.15288100,7005,282.28570000,638840.99508300
2026-05-13 21:00:00,2263.76000000,2264.07000000,2253.70000000,2257.79000000,1575.18500000,2026-05-13 21:14:59.999,3556012.32626200,13070,515.65710000,1163843.42764500
2026-05-13 21:15:00,2257.79000000,2257.79000000,2255.07000000,2255.48000000,760.16440000,2026-05-13 21:29:59.999,1715379.43900000,7411,274.77880000,620025.21684000
2026-05-13 21:30:00,2255.48000000,2257.66000000,2255.29000000,2257.01000000,697.36610000,2026-05-13 21:44:59.999,1573757.84688200,7482,347.88400000,785023.24541200
2026-05-13 21:45:00,2257.01000000,2259.43000000,2254.91000000,2255.79000000,650.45770000,2026-05-13 21:59:59.999,1468248.42806400,11204,253.06010000,571268.09213700
2026-05-13 22:00:00,2255.80000000,2257.30000000,2251.00000000,2256.01000000,1413.61040000,2026-05-13 22:14:59.999,3186144.04219600,20254,651.12920000,1467499.31948200
2026-05-13 22:15:00,2256.00000000,2256.01000000,2251.69000000,2253.98000000,753.00430000,2026-05-13 22:29:59.999,1696790.80520200,10317,285.76820000,643959.14973200
2026-05-13 22:30:00,2253.98000000,2257.50000000,2252.49000000,2257.50000000,861.82480000,2026-05-13 22:44:59.999,1943170.95443200,10737,482.56460000,1088158.13481500
2026-05-13 22:45:00,2257.49000000,2260.55000000,2257.35000000,2259.60000000,1185.01940000,2026-05-13 22:59:59.999,2676904.71101600,10227,587.60270000,1327410.57731400
2026-05-13 23:00:00,2259.59000000,2261.50000000,2258.42000000,2260.22000000,896.74570000,2026-05-13 23:14:59.999,2026679.16166200,13541,490.37280000,1108212.28827200
2026-05-13 23:15:00,2260.23000000,2261.79000000,2255.32000000,2257.61000000,1447.80810000,2026-05-13 23:29:59.999,3271085.47157200,12676,735.98310000,1663195.52494100
2026-05-13 23:30:00,2257.60000000,2258.68000000,2254.83000000,2257.33000000,569.39090000,2026-05-13 23:44:59.999,1285002.02329500,9005,330.23030000,745248.84338800
